,race_id,dist,place,dog_id,box,split_times,split_margins,run_time
279,460054273,450m,3,300930162,5,6.74,0.09,25.88
280,460054273,450m,4,273589594,2,6.74,0.09,26.00
281,460054273,450m,5,314367483,6,7.10,0.45,26.34
282,460054273,450m,6,323694611,3,7.01,0.36,26.39
283,460054273,450m,7,236443945,8,7.09,0.44,26.47
284,460054273,450m,8,287325522,7,7.28,0.63,26.53
285,460054279,390m,1,223670954,4,8.32,0.00,22.35
286,460054279,390m,2,126754004,1,8.43,0.11,22.36
287,460054279,390m,3,170757849,7,8.46,0.14,22.36
288,460054279,390m,4,253386766,6,8.57,0.25,22.55
289,460054279,390m,5,230317216,2,8.44,0.12,22.64
290,460054279,390m,6,214449062,8,8.39,0.07,22.75
291,460054279,390m,7,109835237,5,8.79,0.47,22.87
292,460054279,390m,8,111766592,3,8.51,0.19,22.87
293,460054280,450m,1,212745829,2,6.65,0.13,25.44
294,460054280,450m,2,295448237,3,6.63,0.11,25.59
295,460054280,450m,3,290719284,5,6.64,0.12,25.67
296,460054280,450m,4,234040146,1,6.66,0.14,25.73
297,460054280,450m,5,298886083,6,6.63,0.11,25.81
298,460054280,450m,6,297424669,7,6.79,0.27,25.87
299,460054280,450m,7,230053770,8,6.96,0.44,25.97
300,460054280,450m,8,298886084,4,6.52,0.00,26.43
301,460054281,450m,1,109835234,6,6.62,0.04,25.29
302,460054281,450m,2,297424668,7,6.70,0.12,25.45
303,460054281,450m,3,137764992,1,6.69,0.11,25.45
304,460054281,450m,4,264508968,4,6.58,0.00,25.46
305,460054281,450m,5,198170059,2,6.64,0.06,25.56
306,460054281,450m,6,167542428,5,6.71,0.13,25.75
307,460054281,450m,7,147858656,8,6.95,0.37,25.85
308,460054281,450m,8,231578741,3,6.62,0.04,26.21
309,458617954,390m,1,170757848,5,8.31,0.00,22.03
310,458617954,390m,2,232473019,3,8.43,0.12,22.37
311,458617954,390m,3,224040190,1,8.47,0.16,22.39
312,458617954,390m,4,227854802,2,8.56,0.25,22.49
313,458617954,390m,5,208771213,4,8.64,0.33,22.55
314,458617954,390m,6,197548331,7,8.49,0.18,22.62
315,458617954,390m,7,1426150033,8,8.56,0.25,22.65
316,458617954,390m,8,184223212,6,8.68,0.37,23.05
317,460054282,450m,1,195714155,1,6.64,0.07,25.45
318,460054282,450m,2,230317221,2,6.57,0.00,25.46
319,460054282,450m,3,2043510011,7,6.78,0.21,25.66
320,460054282,450m,4,2043510010,5,6.82,0.25,25.84
321,460054282,450m,5,198170055,6,6.82,0.25,25.86
322,460054282,450m,6,157501904,3,6.83,0.26,25.90
323,460054282,450m,7,1295000010,4,6.71,0.14,25.93
324,460054282,450m,8,236805669,8,7.15,0.58,26.43
325,460054277,390m,1,311059395,5,8.34,0.00,22.06
326,460054277,390m,2,126754007,7,8.38,0.04,22.19
327,460054277,390m,3,126471981,8,8.62,0.28,22.27
328,460054277,390m,4,198169054,3,8.74,0.40,22.74
329,460054277,390m,5,235409381,6,8.66,0.32,22.84
330,460054277,390m,6,287325520,4,9.01,0.67,23.30
331,460054277,390m,7,177414637,2,8.99,0.65,23.51
332,460054276,390m,1,231578736,2,8.38,0.00,22.20
333,460054276,390m,2,297034420,1,8.56,0.18,22.30
334,460054276,390m,3,163734337,4,8.73,0.35,22.34
335,460054276,390m,4,298886081,3,8.56,0.18,22.62
336,460054276,390m,5,230316221,5,8.70,0.32,22.65
337,460054276,390m,6,208441051,8,8.73,0.35,22.90
338,460054276,390m,7,237505079,6,8.80,0.42,22.99
339,460054278,390m,1,230317215,3,8.58,0.00,22.78
340,460054278,390m,2,230316217,4,8.72,0.14,22.79
341,460054278,390m,3,198170053,1,8.65,0.07,22.80
342,460054278,390m,4,203064323,7,8.62,0.04,22.93
343,460054278,390m,5,253088670,2,8.76,0.18,23.22
344,460054274,390m,1,1524410122,2,8.60,0.07,22.59
345,460054274,390m,2,1540960015,4,8.72,0.19,22.97
346,460054274,390m,3,825780007,3,8.83,0.30,23.02
347,460054274,390m,4,1346610002,7,8.74,0.21,23.02
348,460054274,390m,5,1457710141,8,8.53,0.00,23.21
349,460054274,390m,6,1608070001,6,8.64,0.11,23.27
350,460054274,390m,7,1574550022,5,9.11,0.58,23.48
351,460054274,390m,8,1550070062,1,8.57,0.04,24.33
352,176470759,450m,1,1524380021,6,6.60,0.00,25.65
353,176470759,450m,2,1345890019,3,6.74,0.14,25.95
354,176470759,450m,3,1448780006,8,6.79,0.19,26.00
355,176470759,450m,4,1424750001,2,6.83,0.23,26.01
